"Comunidad autónoma","Número de denuncias por violencia de género/Año 2009","Número de denuncias por violencia de género/Año 2010","Número de denuncias por violencia de género/Año 2011","Número de denuncias por violencia de género/Año 2012","Número de denuncias por violencia de género/Año 2013","Número de denuncias por violencia de género/Año 2014","Número de denuncias por violencia de género/Año 2015","Número de denuncias por violencia de género/Año 2016","Número de denuncias por violencia de género/Año 2017","Número de denuncias por violencia de género/Año 2018","Número de denuncias por violencia de género/Año 2019","Número de denuncias por violencia de género/Año 2020","Número de denuncias por violencia de género/Año 2021","Número de denuncias por violencia de género/Año 2022"
"Andalucía","26143.0","27047.0","27050.0","26191.0","26476.0","26910.0","27582.0","29412.0","34571.0","33859.0","33977.0","30847.0","33325.0","28638.0"
"Aragón","2848.0","2573.0","3392.0","3228.0","3074.0","3241.0","2635.0","3162.0","3860.0","4053.0","4244.0","3277.0","4008.0","3320.0"
"Principado de Asturias","2373.0","2147.0","2656.0","2431.0","2438.0","2486.0","2359.0","2747.0","2711.0","3109.0","2889.0","2650.0","2532.0","2324.0"
"Illes Balears","4453.0","4231.0","4417.0","4739.0","4372.0","4687.0","4658.0","5268.0","5412.0","5352.0","6493.0","5880.0","6363.0","5390.0"
"Canarias","8982.0","8326.0","8049.0","7701.0","7111.0","6936.0","7758.0","9404.0","9003.0","8342.0","9786.0","8926.0","9002.0","7093.0"
"Cantabria","1172.0","1231.0","1168.0","1106.0","1137.0","1230.0","1327.0","1507.0","1908.0","2000.0","2004.0","1668.0","1898.0","1639.0"
"Castilla y León","5090.0","4427.0","4762.0","4132.0","4153.0","5132.0","4644.0","4633.0","5410.0","5239.0","5270.0","4759.0","5170.0","4255.0"
"Castilla-La Mancha","5370.0","5665.0","4910.0","4311.0","4359.0","4283.0","4634.0","4731.0","5103.0","5672.0","6051.0","5541.0","6543.0","4825.0"
"Cataluña","18218.0","18866.0","18475.0","17777.0","17149.0","17342.0","18514.0","19546.0","22952.0","23098.0","22508.0","19926.0","21857.0","17185.0"
"Comunitat Valenciana","19350.0","19369.0","18540.0","17830.0","17070.0","16635.0","17394.0","19431.0","22727.0","22920.0","23932.0","21954.0","22654.0","20055.0"
"Extremadura","1702.0","1778.0","1995.0","1967.0","1934.0","1933.0","2436.0","2633.0","2787.0","2470.0","2513.0","2262.0","2592.0","2410.0"
"Galicia","6067.0","5270.0","5153.0","4788.0","5174.0","5209.0","5210.0","5683.0","6436.0","6537.0","6551.0","6078.0","6259.0","5362.0"
"Comunidad de Madrid","20863.0","21195.0","20708.0","20935.0","19506.0","19270.0","18527.0","21535.0","26959.0","26965.0","26166.0","22463.0","25454.0","21313.0"
"Región de Murcia","6085.0","5513.0","5766.0","4796.0","4656.0","5039.0","5034.0","6302.0","7839.0","8250.0","6426.0","6103.0","6750.0","5879.0"
"Comunidad Foral de Navarra","1236.0","1470.0","1449.0","1333.0","1219.0","1328.0","1191.0","1502.0","1836.0","1887.0","1957.0","1796.0","1630.0","1612.0"
"País Vasco","4058.0","3691.0","4125.0","3853.0","3937.0","3990.0","4232.0","4764.0","5192.0","5640.0","5927.0","5355.0","5357.0","4533.0"
"La Rioja","834.0","660.0","710.0","701.0","548.0","549.0","616.0","690.0","727.0","839.0","822.0","768.0","823.0","679.0"
"Ceuta","334.0","273.0","354.0","341.0","269.0","239.0","151.0","174.0","443.0","280.0","264.0","228.0","275.0","201.0"
"Melilla","361.0","373.0","323.0","317.0","311.0","303.0","291.0","411.0","384.0","449.0","388.0","323.0","356.0","274.0"
